Start Date: 05/08/2016 00:00:00 Pacific Daylight Time,,,
End Date: 05/15/2016 00:00:00 Pacific Daylight Time,,,
Reporting interval: 15 minutes,,,
,,,
Results for Sensor Zone '8_1' in AP: 'apeg226',,,
Time,Occup (%),Volume,Median Speed (mph)
05/08/2016 00:00:00 PDT,0.55,8,0
05/08/2016 00:15:00 PDT,0.31,5,0
05/08/2016 00:30:00 PDT,0.34,5,0
05/08/2016 00:45:00 PDT,0.14,3,0
05/08/2016 01:00:00 PDT,0.28,4,0
05/08/2016 01:15:00 PDT,0.27,5,0
05/08/2016 01:30:00 PDT,0.04,1,0
05/08/2016 01:45:00 PDT,0.08,2,0
05/08/2016 02:00:00 PDT,0.2,4,0
05/08/2016 02:15:00 PDT,0.32,5,0
05/08/2016 02:30:00 PDT,0,0,0
05/08/2016 02:45:00 PDT,0,0,0
05/08/2016 03:00:00 PDT,0,0,0
05/08/2016 03:15:00 PDT,0.05,1,0
05/08/2016 03:30:00 PDT,0,0,0
05/08/2016 03:45:00 PDT,0.05,1,0
05/08/2016 04:00:00 PDT,0.05,1,0
05/08/2016 04:15:00 PDT,0,0,0
05/08/2016 04:30:00 PDT,0,0,0
05/08/2016 04:45:00 PDT,0.07,1,0
05/08/2016 05:00:00 PDT,0,0,0
05/08/2016 05:15:00 PDT,0,0,0
05/08/2016 05:30:00 PDT,0.05,1,0
05/08/2016 05:45:00 PDT,0.04,1,0
05/08/2016 06:00:00 PDT,0,0,0
05/08/2016 06:15:00 PDT,0.27,5,0
05/08/2016 06:30:00 PDT,0.03,1,0
05/08/2016 06:45:00 PDT,0.09,2,0
05/08/2016 07:00:00 PDT,0.14,3,0
05/08/2016 07:15:00 PDT,0.09,1,0
05/08/2016 07:30:00 PDT,0,0,0
05/08/2016 07:45:00 PDT,0.22,3,0
05/08/2016 08:00:00 PDT,0.19,4,0
05/08/2016 08:15:00 PDT,0.15,4,0
05/08/2016 08:30:00 PDT,0.2,4,0
05/08/2016 08:45:00 PDT,0.7,14,0
05/08/2016 09:00:00 PDT,1.53,10,0
05/08/2016 09:15:00 PDT,0.44,9,0
05/08/2016 09:30:00 PDT,1.03,20,0
05/08/2016 09:45:00 PDT,0.92,19,0
05/08/2016 10:00:00 PDT,0.82,12,0
05/08/2016 10:15:00 PDT,1.15,16,0
05/08/2016 10:30:00 PDT,1.44,21,0
05/08/2016 10:45:00 PDT,1.32,28,0
05/08/2016 11:00:00 PDT,1.8,27,0
05/08/2016 11:15:00 PDT,2.02,24,0
05/08/2016 11:30:00 PDT,1.03,14,0
05/08/2016 11:45:00 PDT,1.16,21,0
05/08/2016 12:00:00 PDT,1.16,22,0
05/08/2016 12:15:00 PDT,1.03,17,0
05/08/2016 12:30:00 PDT,1.27,21,0
05/08/2016 12:45:00 PDT,0.97,15,0
05/08/2016 13:00:00 PDT,1.32,21,0
05/08/2016 13:15:00 PDT,1.47,26,0
05/08/2016 13:30:00 PDT,1.22,19,0
05/08/2016 13:45:00 PDT,1.2,22,0
05/08/2016 14:00:00 PDT,0.86,16,0
05/08/2016 14:15:00 PDT,1.26,22,0
05/08/2016 14:30:00 PDT,1.31,21,0
05/08/2016 14:45:00 PDT,1.06,16,0
05/08/2016 15:00:00 PDT,0.86,14,0
05/08/2016 15:15:00 PDT,1.14,18,0
05/08/2016 15:30:00 PDT,1.02,18,0
05/08/2016 15:45:00 PDT,1.03,17,0
05/08/2016 16:00:00 PDT,1.11,16,0
05/08/2016 16:15:00 PDT,0.7,14,0
05/08/2016 16:30:00 PDT,1.25,20,0
05/08/2016 16:45:00 PDT,1.54,26,0
05/08/2016 17:00:00 PDT,1.16,18,0
05/08/2016 17:15:00 PDT,0.76,16,0
05/08/2016 17:30:00 PDT,0.9,15,0
05/08/2016 17:45:00 PDT,0.54,11,0
05/08/2016 18:00:00 PDT,0.34,6,0
05/08/2016 18:15:00 PDT,0.66,13,0
05/08/2016 18:30:00 PDT,0.8,13,0
05/08/2016 18:45:00 PDT,0.73,13,0
05/08/2016 19:00:00 PDT,0.96,20,0
05/08/2016 19:15:00 PDT,1.16,25,0
05/08/2016 19:30:00 PDT,1.77,30,0
05/08/2016 19:45:00 PDT,1.15,20,0
05/08/2016 20:00:00 PDT,2.16,37,0
05/08/2016 20:15:00 PDT,2.71,23,0
05/08/2016 20:30:00 PDT,1.23,24,0
05/08/2016 20:45:00 PDT,1.35,26,0
05/08/2016 21:00:00 PDT,2.67,39,0
05/08/2016 21:15:00 PDT,1.48,31,0
05/08/2016 21:30:00 PDT,1.36,30,0
05/08/2016 21:45:00 PDT,1.62,34,0
05/08/2016 22:00:00 PDT,1.13,18,0
05/08/2016 22:15:00 PDT,1.26,27,0
05/08/2016 22:30:00 PDT,0.8,17,0
05/08/2016 22:45:00 PDT,0.72,14,0
05/08/2016 23:00:00 PDT,0.74,17,0
05/08/2016 23:15:00 PDT,0.59,13,0
05/08/2016 23:30:00 PDT,0.45,10,0
05/08/2016 23:45:00 PDT,0.26,6,0
05/09/2016 00:00:00 PDT,0.25,5,0
05/09/2016 00:15:00 PDT,0.33,5,0
05/09/2016 00:30:00 PDT,0.11,3,0
05/09/2016 00:45:00 PDT,0.23,5,0
05/09/2016 01:00:00 PDT,0,0,0
05/09/2016 01:15:00 PDT,0.09,2,0
05/09/2016 01:30:00 PDT,0,0,0
05/09/2016 01:45:00 PDT,0.22,5,0
05/09/2016 02:00:00 PDT,0.2,5,0
05/09/2016 02:15:00 PDT,0.15,3,0
05/09/2016 02:30:00 PDT,0.3,5,0
05/09/2016 02:45:00 PDT,0.28,6,0
05/09/2016 03:00:00 PDT,0.05,1,0
05/09/2016 03:15:00 PDT,0.06,1,0
05/09/2016 03:30:00 PDT,0.13,3,0
05/09/2016 03:45:00 PDT,0.35,6,0
05/09/2016 04:00:00 PDT,0.43,8,0
05/09/2016 04:15:00 PDT,0.46,9,0
05/09/2016 04:30:00 PDT,0.96,23,0
05/09/2016 04:45:00 PDT,0.86,21,0
05/09/2016 05:00:00 PDT,1.59,30,0
05/09/2016 05:15:00 PDT,2.38,49,0
05/09/2016 05:30:00 PDT,2.71,54,0
05/09/2016 05:45:00 PDT,3.64,75,0
05/09/2016 06:00:00 PDT,4.78,88,0
05/09/2016 06:15:00 PDT,4.19,87,0
05/09/2016 06:30:00 PDT,5.76,107,0
05/09/2016 06:45:00 PDT,6.45,117,0
05/09/2016 07:00:00 PDT,6.93,103,0
05/09/2016 07:15:00 PDT,7.09,120,0
05/09/2016 07:30:00 PDT,6.21,98,0
05/09/2016 07:45:00 PDT,7.05,113,0
05/09/2016 08:00:00 PDT,7.76,119,0
05/09/2016 08:15:00 PDT,8.55,124,0
05/09/2016 08:30:00 PDT,8.94,114,0
05/09/2016 08:45:00 PDT,9.23,121,0
05/09/2016 09:00:00 PDT,6.85,99,0
05/09/2016 09:15:00 PDT,6.14,80,0
05/09/2016 09:30:00 PDT,7.97,117,0
05/09/2016 09:45:00 PDT,5.98,88,0
05/09/2016 10:00:00 PDT,4.08,70,0
05/09/2016 10:15:00 PDT,6.81,105,0
05/09/2016 10:30:00 PDT,5.83,90,0
05/09/2016 10:45:00 PDT,4.69,77,0
05/09/2016 11:00:00 PDT,6.47,97,0
05/09/2016 11:15:00 PDT,5.11,87,0
05/09/2016 11:30:00 PDT,5.43,76,0
05/09/2016 11:45:00 PDT,5.47,81,0
05/09/2016 12:00:00 PDT,4.61,77,0
05/09/2016 12:15:00 PDT,4.6,75,0
05/09/2016 12:30:00 PDT,3.69,70,0
05/09/2016 12:45:00 PDT,8.21,68,0
05/09/2016 13:00:00 PDT,5.43,69,0
05/09/2016 13:15:00 PDT,4.7,73,0
05/09/2016 13:30:00 PDT,5,76,0
05/09/2016 13:45:00 PDT,3.99,73,0
05/09/2016 14:00:00 PDT,4.87,71,0
05/09/2016 14:15:00 PDT,4.78,74,0
05/09/2016 14:30:00 PDT,4.17,76,0
05/09/2016 14:45:00 PDT,5.93,89,0
05/09/2016 15:00:00 PDT,5.15,84,0
05/09/2016 15:15:00 PDT,5.16,95,0
05/09/2016 15:30:00 PDT,4.58,90,0
05/09/2016 15:45:00 PDT,5.54,97,0
05/09/2016 16:00:00 PDT,5.17,92,0
05/09/2016 16:15:00 PDT,4.71,87,0
05/09/2016 16:30:00 PDT,5.99,101,0
05/09/2016 16:45:00 PDT,5.95,110,0
05/09/2016 17:00:00 PDT,5.85,100,0
05/09/2016 17:15:00 PDT,6.01,105,0
05/09/2016 17:30:00 PDT,6.67,105,0
05/09/2016 17:45:00 PDT,4.58,82,0
05/09/2016 18:00:00 PDT,4.79,93,0
05/09/2016 18:15:00 PDT,5.41,95,0
05/09/2016 18:30:00 PDT,4.04,72,0
05/09/2016 18:45:00 PDT,4.48,84,0
05/09/2016 19:00:00 PDT,3.21,61,0
05/09/2016 19:15:00 PDT,3.25,63,0
05/09/2016 19:30:00 PDT,19.99,55,0
05/09/2016 19:45:00 PDT,3.1,58,0
05/09/2016 20:00:00 PDT,3.46,66,0
05/09/2016 20:15:00 PDT,2.59,49,0
05/09/2016 20:30:00 PDT,2.4,50,0
05/09/2016 20:45:00 PDT,2.43,47,0
05/09/2016 21:00:00 PDT,1.42,31,0
05/09/2016 21:15:00 PDT,2.92,52,0
05/09/2016 21:30:00 PDT,2.62,54,0
05/09/2016 21:45:00 PDT,2.53,49,0
05/09/2016 22:00:00 PDT,1.29,30,0
05/09/2016 22:15:00 PDT,1.83,40,0
05/09/2016 22:30:00 PDT,1.84,37,0
05/09/2016 22:45:00 PDT,1.64,36,0
05/09/2016 23:00:00 PDT,1.12,23,0
05/09/2016 23:15:00 PDT,1.11,23,0
05/09/2016 23:30:00 PDT,0.5,12,0
05/09/2016 23:45:00 PDT,0.48,9,0
05/10/2016 00:00:00 PDT,0.25,6,0
05/10/2016 00:15:00 PDT,0.36,9,0
05/10/2016 00:30:00 PDT,0.29,5,0
05/10/2016 00:45:00 PDT,0.39,10,0
05/10/2016 01:00:00 PDT,0.26,6,0
05/10/2016 01:15:00 PDT,0.18,4,0
