Start Date: 05/01/2016 00:00:00 Pacific Daylight Time,,,
End Date: 05/08/2016 00:00:00 Pacific Daylight Time,,,
Reporting interval: 15 minutes,,,
,,,
Results for Sensor Zone '8_1' in AP: 'apeg226',,,
Time,Occup (%),Volume,Median Speed (mph)
05/01/2016 00:00:00 PDT,0.54,9,0
05/01/2016 00:15:00 PDT,0.31,5,0
05/01/2016 00:30:00 PDT,0.11,3,0
05/01/2016 00:45:00 PDT,0.28,6,0
05/01/2016 01:00:00 PDT,0.21,3,0
05/01/2016 01:15:00 PDT,0.12,2,0
05/01/2016 01:30:00 PDT,0.28,4,0
05/01/2016 01:45:00 PDT,0.28,2,0
05/01/2016 02:00:00 PDT,0.23,4,0
05/01/2016 02:15:00 PDT,0.31,3,0
05/01/2016 02:30:00 PDT,0.35,6,0
05/01/2016 02:45:00 PDT,0.06,1,0
05/01/2016 03:00:00 PDT,0.04,1,0
05/01/2016 03:15:00 PDT,0.08,2,0
05/01/2016 03:30:00 PDT,0,0,0
05/01/2016 03:45:00 PDT,0.03,1,0
05/01/2016 04:00:00 PDT,0.05,1,0
05/01/2016 04:15:00 PDT,0,0,0
05/01/2016 04:30:00 PDT,0,0,0
05/01/2016 04:45:00 PDT,0.08,1,0
05/01/2016 05:00:00 PDT,0.1,1,0
05/01/2016 05:15:00 PDT,0,0,0
05/01/2016 05:30:00 PDT,0.11,2,0
05/01/2016 05:45:00 PDT,0,0,0
05/01/2016 06:00:00 PDT,0.26,4,0
05/01/2016 06:15:00 PDT,0.36,2,0
05/01/2016 06:30:00 PDT,0.1,2,0
05/01/2016 06:45:00 PDT,0.07,1,0
05/01/2016 07:00:00 PDT,0.06,1,0
05/01/2016 07:15:00 PDT,0.5,6,0
05/01/2016 07:30:00 PDT,0.04,1,0
05/01/2016 07:45:00 PDT,0.18,4,0
05/01/2016 08:00:00 PDT,0.07,1,0
05/01/2016 08:15:00 PDT,0.04,2,0
05/01/2016 08:30:00 PDT,0.23,3,0
05/01/2016 08:45:00 PDT,0.11,2,0
05/01/2016 09:00:00 PDT,0.12,2,0
05/01/2016 09:15:00 PDT,0.14,4,0
05/01/2016 09:30:00 PDT,0.26,5,0
05/01/2016 09:45:00 PDT,0.59,9,0
05/01/2016 10:00:00 PDT,0.57,6,0
05/01/2016 10:15:00 PDT,0.35,7,0
05/01/2016 10:30:00 PDT,0.31,5,0
05/01/2016 10:45:00 PDT,0.41,7,0
05/01/2016 11:00:00 PDT,0.53,9,0
05/01/2016 11:15:00 PDT,0.73,12,0
05/01/2016 11:30:00 PDT,0.35,8,0
05/01/2016 11:45:00 PDT,1.93,19,0
05/01/2016 12:00:00 PDT,1.05,17,0
05/01/2016 12:15:00 PDT,0.78,12,0
05/01/2016 12:30:00 PDT,1.1,17,0
05/01/2016 12:45:00 PDT,0.89,16,0
05/01/2016 13:00:00 PDT,0.56,9,0
05/01/2016 13:15:00 PDT,1.07,20,0
05/01/2016 13:30:00 PDT,1.07,20,0
05/01/2016 13:45:00 PDT,0.59,11,0
05/01/2016 14:00:00 PDT,0.97,17,0
05/01/2016 14:15:00 PDT,0.65,12,0
05/01/2016 14:30:00 PDT,0.72,13,0
05/01/2016 14:45:00 PDT,0.93,14,0
05/01/2016 15:00:00 PDT,0.7,15,0
